naam;code
Wijk00;WK000300
Wijk00;WK000500
Wijk00Bellingwolde;WK000700
Wijk01Oost;WK000701
Wijk02Blijham;WK000702
Wijk00West;WK000900
Wijk01Oost;WK000901
Wijk00Stad;WK001000
Wijk01Land;WK001001
Wijk02;WK001002
Wijk03;WK001003
Centrum;WK001400
Oud-Zuid;WK001401
Oud-West;WK001402
Oud-Noord;WK001403
Oosterparkwijk;WK001404
Zuidoost;WK001405
Helpmane.o.;WK001406
Zuidwest;WK001407
Hoogkerke.o.;WK001408
Nieuw-West;WK001409
Noordwest;WK001410
Noordoost;WK001411
Noorddijke.o.;WK001412
Meerdorpen;WK001413
Wijk00Grootegast;WK001500
Wijk01Lutjegast;WK001501
Wijk02Opende;WK001502
Wijk03Oldekerk;WK001503
Wijk00Centrum;WK001700
Wijk01Land;WK001701
Wijk01FoxhamenHoogezand-Noord;WK001801
Wijk02Hoogezand-Zuid;WK001802
Wijk03Kalkwijk;WK001803
Wijk05Kiel-Windeweer;WK001805
Wijk06Kropswolde;WK001806
Wijk07Foxhol;WK001807
Wijk08Westerbroek;WK001808
Wijk09Waterhuizen;WK001809
Wijk11Sappemeer;WK001811
Wijk00Leek;WK002200
Wijk01Zevenhuizen;WK002201
Wijk02Tolbert;WK002202
Wijk04Midwolde;WK002204
Wijk05Lettelbert;WK002205
Wijk06Oostwold;WK002206
Wijk07Enumatil;WK002207
Wijk00;WK002400
Wijk01Stedum;WK002401
Wijk02Middelstum;WK002402
Wijk03tZandt;WK002403
Wijk00Marum;WK002500
Wijk01DeWilp;WK002501
Wijk01AlmereHaven;WK003401
Wijk02AlmereStad;WK003402
Wijk03AlmereBuiten;WK003403
Wijk04AlmerePoort;WK003404
Wijk05AlmereHout;WK003405
Wijk06AlmerePampus;WK003406
Stadskanaal;WK003701
Musselkanaal;WK003702
Onstwedde;WK003703
Mussel;WK003704
Alteveer;WK003705
Wijk00Slochteren-Kolham;WK004000
Wijk01Schildwolde-Hellum;WK004001
Wijk02Siddeburen;WK004002
Wijk03Harkstede;WK004003
Wijk04Overschild;WK004004
Wijk00Veendam-kern;WK004700
Wijk01Veendam-buitengebied;WK004701
Wijk02Wildervank;WK004702
Wijk00Sellingen;WK004800
Wijk01Vlagtwedde;WK004801
Wijk02Bourtange;WK004802
Wijk03Sellingerbeetse;WK004803
Wijk04TerApel;WK004804
Wijk05TerWisch;WK004805
Wijk06deMaten;WK004806
Wijk00;WK005000
Wijk00;WK005300
Wijk01;WK005301
Wijk02;WK005302
Wijk03;WK005303
Wijk00;WK005600
Wijk01;WK005601
Wijk02;WK005602
Wijk03;WK005603
Dokkum;WK005800
Metslawier;WK005801
Ee-Zuidoost;WK005802
Anjum-Noordoost;WK005803
Oosternijkerk-Noordwest;WK005804
Ternaard;WK005805
Holwerd;WK005806
Hantum;WK005807
Wijk00Noord;WK005900
Wijk01Centrum;WK005901
Wijk02Zuid;WK005902
Wijk00;WK006000
Wijk00West;WK006300
Wijk01Oost;WK006301
Wijk02Zuid;WK006302
Wijk00Franeker;WK007000
Wijk01Noord;WK007001
Wijk02Noordoost;WK007002
Wijk03Zuid;WK007003
Wijk04West;WK007004
Wijk05FranekerZuidoost;WK007005
Wijk00Harlingen;WK007200
Wijk01Midlum;WK007201
Wijk02Wijnaldum;WK007202
Wijk01Heerenveen;WK007401
Wijk02Noord-Heerenveen;WK007402
Wijk03Hoornsterzwaag;WK007403
Wijk04Jubbega;WK007404
Wijk06Oranjewoud;WK007406
Skarsterlân;WK007407
Boarnsterhim;WK007409
Wijk00Kollum;WK007900
Wijk01Oost;WK007901
Wijk02Noordwest;WK007902
Wijk03Zuidwest;WK007903
Wijk10Binnenstad;WK008010
Wijk20Transvaalwijk&Rengerspark;WK008020
Wijk21Bilgaard&Havankparke.o.;WK008021
Wijk22Vrijheidswijk;WK008022
