Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
ABW;Aruba;SSP3_ABW;0.107;0.123;0.132;0.138;0.144;0.15;0.157;0.163;0.168;0.172;46.872;49.858;52.026;53.593;54.727;55.549;56.144;56.577;56.893;57.122;0.05015304;0.06132534;0.06867432;0.07395834;0.07880688;0.0833235;0.08814608;0.09222051;0.09558024;0.09824984;1.22276416;1.11983594;1.07694317;1.06555772;1.05731251;1.05787779;1.04622361;1.03643148;1.02793046;ABW
AFG;Afghanistan;SSP3_AFG;31.412;41.886;56.29;72.827;91.579;111.268;130.67;149.558;167.054;181.926;22.6;24.736;26.87;28.976;31.033;33.023;34.933;36.753;38.475;40.096;7.099112;10.360921;15.125123;21.1023515;28.4197111;36.7440316;45.6469511;54.9670517;64.2740265;72.945049;1.45946718;1.45982419;1.39518545;1.34675565;1.29290659;1.24229566;1.20417794;1.16931916;1.1349071;AFG
AGO;Angola;SSP3_AGO;19.082;25.492;33.357;41.337;49.523;57.25;64.069;70.116;75.26;79.305;58.504;61.365;63.656;65.498;66.99;68.205;69.201;70.022;70.701;71.267;11.1637333;15.6431658;21.2337319;27.0749083;33.1754577;39.0473625;44.3363887;49.0966255;53.2095726;56.5182943;1.40124862;1.35738074;1.27508948;1.22532115;1.17699544;1.13545156;1.10736636;1.0837725;1.06218283;AGO
ALB;Albania;SSP3_ALB;3.204;3.337;3.484;3.552;3.579;3.599;3.574;3.528;3.513;3.533;51.911;54.704;57.273;59.628;61.782;63.749;65.545;67.186;68.685;70.057;1.66322844;1.82547248;1.99539132;2.11798656;2.21117778;2.29432651;2.3425783;2.37032208;2.41290405;2.47511381;1.09754766;1.09308212;1.0614392;1.04399991;1.03760382;1.02103092;1.01184327;1.01796463;1.02578211;ALB
ARE;United Arab Emirates;SSP3_ARE;7.512;10.55;12.166;13.488;14.535;15.274;15.735;16.122;16.47;16.531;84.05;86.561;88.72;90.562;92.125;93.443;94.551;95.479;96.254;96.9;6.313836;9.1321855;10.7936752;12.2150026;13.3903688;14.2724838;14.8775999;15.3931244;15.8530338;16.018539;1.44637674;1.1819378;1.1316815;1.09622316;1.06587683;1.04239739;1.03465105;1.02987759;1.01043997;ARE
ARG;Argentina;SSP3_ARG;40.412;44.244;48.338;52.239;56.052;59.659;63.018;66.388;69.991;73.854;92.393;94.084;95.418;96.462;97.275;97.906;98.392;98.768;99.056;99.277;37.3378592;41.626525;46.1231528;50.3907842;54.524583;58.4097405;62.0046706;65.5700998;69.330285;73.3200356;1.11486105;1.10802314;1.09252688;1.08203482;1.07125515;1.06154676;1.05750259;1.05734603;1.05754701;ARG
ARM;Armenia;SSP3_ARM;3.092;3.102;3.103;3.081;3.035;2.98;2.936;2.909;2.924;2.984;64.191;67.229;69.024;70.115;70.793;71.219;71.49;71.663;71.774;71.845;1.98478572;2.08544358;2.14181472;2.16024315;2.14856755;2.1223262;2.0989464;2.08467667;2.09867176;2.1438548;1.05071472;1.02703077;1.00860412;0.994595238;0.987786584;0.98898388;0.99320148;1.00671331;1.02152935;ARM
AUS;Australia;SSP3_AUS;22.268;25.14;26.836;27.898;28.462;28.436;27.774;26.562;24.896;22.921;89.108;90.753;92.171;93.387;94.426;95.31;96.059;96.693;97.228;97.679;19.8425694;22.8153042;24.7350096;26.0531053;26.8755281;27.1023516;26.6794267;25.6835947;24.2058829;22.3890036;1.14981602;1.08414112;1.05328867;1.03156717;1.00843978;0.984395268;0.96267416;0.94246476;0.92494059;AUS
AUT;Austria;SSP3_AUT;8.394;8.523;8.402;8.114;7.681;7.101;6.45;5.786;5.118;4.481;67.553;68.829;69.531;69.925;70.147;70.274;70.347;70.388;70.412;70.425;5.67039882;5.86629567;5.84199462;5.6737145;5.38799107;4.99015674;4.5373815;4.07264968;3.60368616;3.15574425;1.03454728;0.995857514;0.971194749;0.949640852;0.926162771;0.909266329;0.897577089;0.884850513;0.875698968;AUT
AZE;Azerbaijan;SSP3_AZE;9.188;10.189;10.767;11.186;11.453;11.58;11.711;11.877;12.148;12.471;51.931;53.619;55.32;57.032;58.748;60.466;62.179;63.883;65.573;67.244;4.77142028;5.46323991;5.9563044;6.37959952;6.72840844;7.0019628;7.28178269;7.58738391;7.96580804;8.38599924;1.14499239;1.0902513;1.07106674;1.05467568;1.04065662;1.03996306;1.04196791;1.04987544;1.05274935;AZE
BDI;Burundi;SSP3_BDI;8.382;10.826;12.93;14.847;16.742;18.295;19.492;20.5;21.149;21.461;10.999;13.944;16.702;19.052;20.906;22.29;23.281;23.973;24.446;24.765;0.92193618;1.50957744;2.1595686;2.82865044;3.50008252;4.0779555;4.53793252;4.914465;5.17008454;5.31481665;1.63739907;1.43057822;1.30982199;1.23736835;1.16510267;1.11279599;1.08297446;1.05201371;1.02799415;BDI
BEL;Belgium;SSP3_BEL;10.712;11.024;11.005;10.814;10.434;9.9;9.283;8.62;7.902;7.135;97.411;97.677;97.917;98.132;98.325;98.499;98.655;98.795;98.92;99.033;10.4346663;10.7679125;10.7757659;10.6119945;10.2592305;9.751401;9.15814365;8.516129;7.8166584;7.06600455;1.03193645;1.00072933;0.984801881;0.966757994;0.950500235;0.939161834;0.929896857;0.917865194;0.903967423;BEL
BEN;Benin;SSP3_BEN;8.85;11.632;14.673;17.736;20.683;23.382;25.737;27.747;29.337;30.586;42.044;42.628;43.292;44.045;44.9;45.873;46.978;48.235;49.661;51.279;3.720894;4.95848896;6.35223516;7.8118212;9.286667;10.7260249;12.0907279;13.3837655;14.5690476;15.6841949;1.33260688;1.28108285;1.22977519;1.18879667;1.15499187;1.12723288;1.10694456;1.08856118;1.07654223;BEN
