Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP2_ABW;0.107;0.125;0.138;0.148;0.156;0.162;0.165;0.164;0.159;0.151;0.0405554727;0.0540289064;0.0659182416;0.0763269673;0.0853914029;0.0929423176;0.0982966255;0.100739122;0.100164692;0.0971518822
AFG;Afghanistan;SSP2_AFG;31.412;40.602;51.689;63.599;75.162;85.822;95.121;102.899;108.98;113.086;0.800410437;1.2623264;1.91275196;2.7346738;3.67278876;4.67208341;5.67100648;6.62141138;7.47791167;8.19214158
AGO;Angola;SSP2_AGO;19.082;25.239;31.855;38.164;43.976;48.856;52.598;55.142;56.598;56.892;7.8957655;11.6842209;15.8629665;19.9742461;23.8462621;27.1949626;29.86641;31.8000174;33.0443863;33.548402
ALB;Albania;SSP2_ALB;3.204;3.271;3.301;3.274;3.201;3.095;2.942;2.741;2.524;2.319;1.19328087;1.39797344;1.54398803;1.62844037;1.66293395;1.65989286;1.61616769;1.53389071;1.43318948;1.33220851
ARE;United Arab Emirates;SSP2_ARE;7.512;11.043;13.359;15.357;16.915;17.963;18.299;17.97;17.282;16.327;1.83491325;2.77799575;3.44443285;4.04179823;4.52868113;4.87806837;5.02823681;4.98629741;4.83431591;4.59782471
ARG;Argentina;SSP2_ARG;40.412;43.57;46.155;48.142;49.377;49.834;49.664;48.902;47.83;46.575;24.049284;26.4031699;28.3662419;29.9111512;30.9370342;31.425905;31.4741653;31.1096854;30.5164426;29.7820265
ARM;Armenia;SSP2_ARM;3.092;3.038;2.922;2.78;2.594;2.392;2.206;2.028;1.876;1.768;1.19750775;1.26285296;1.28585742;1.28130257;1.2417761;1.18153167;1.11849897;1.05109262;0.990569609;0.948477175
AUS;Australia;SSP2_AUS;22.268;25.987;29.562;32.858;36.033;38.929;41.124;42.531;43.055;42.577;15.595779;18.5364387;21.4159466;24.1177458;26.7424491;29.1622401;31.0486395;32.3228608;32.9021372;32.68778
AUT;Austria;SSP2_AUT;8.394;8.696;8.946;9.11;9.214;9.214;9.077;8.858;8.555;8.148;3.5050205;3.81221567;4.09124416;4.32239689;4.51401288;4.64176098;4.68540757;4.6707006;4.59570062;4.44908418
AZE;Azerbaijan;SSP2_AZE;9.188;10.132;10.628;10.93;10.993;10.84;10.57;10.153;9.713;9.292;3.22407425;4.01628216;4.58058197;4.99774049;5.24797677;5.34464775;5.34215555;5.23176888;5.08287867;4.92353226
BDI;Burundi;SSP2_BDI;8.382;10.892;13.086;15.056;16.81;18.126;18.938;19.324;19.289;18.918;1.10766388;1.94683941;3.06693473;4.47180414;6.11002932;7.79767116;9.35699928;10.6872017;11.6896238;12.3494052
BEL;Belgium;SSP2_BEL;10.712;11.27;11.775;12.222;12.596;12.885;13.069;13.156;13.123;12.924;5.417799;5.71558321;5.98636699;6.22726364;6.43044355;6.58962298;6.69430941;6.74843631;6.74002581;6.64540123
BEN;Benin;SSP2_BEN;8.85;11.514;14.254;16.85;19.214;21.15;22.67;23.736;24.272;24.385;2.92669175;4.38900631;6.07173795;7.82975231;9.56222667;11.1174458;12.4538632;13.5179792;14.2413378;14.6686102
BFA;Burkina Faso;SSP2_BFA;16.469;21.567;27.291;33.135;38.602;43.42;47.468;50.807;53.431;55.325;3.63988175;6.14228465;9.49565486;13.4589822;17.6539997;21.7510197;25.5169465;28.8653719;31.7219076;34.033006
BGD;Bangladesh;SSP2_BGD;148.692;166.226;181.146;191.092;195.777;195.149;190.649;183.858;175.754;167.49;12.632638;17.2434242;22.1781602;26.7935887;30.6446778;33.3953884;35.0768004;35.8904272;36.022587;35.7473532
BGR;Bulgaria;SSP2_BGR;7.494;7.068;6.754;6.51;6.308;6.121;5.891;5.623;5.347;5.062;2.79387825;2.7744488;2.76102731;2.74918026;2.73519251;2.71258078;2.65853903;2.5768756;2.48266844;2.37698742
BHR;Bahrain;SSP2_BHR;1.262;1.883;2.349;2.796;3.207;3.53;3.751;3.873;3.9;3.848;0.936190938;1.44565617;1.8401963;2.21951547;2.56956148;2.84786436;3.04220457;3.15431489;3.18704615;3.15334648
BHS;Bahamas;SSP2_BHS;0.343;0.387;0.426;0.456;0.478;0.493;0.497;0.491;0.479;0.462;0.114400227;0.135540068;0.153226851;0.166771746;0.176813924;0.183866019;0.186510898;0.185154996;0.1813327;0.175454096
BIH;Bosnia and Herzegovina;SSP2_BIH;3.76;3.718;3.633;3.492;3.301;3.087;2.852;2.608;2.385;2.194;0.69331675;0.769737138;0.824225956;0.85200374;0.853737557;0.836966282;0.803731332;0.758874754;0.712845122;0.670793127
BLR;Belarus;SSP2_BLR;9.595;9.27;8.915;8.562;8.206;7.813;7.399;6.983;6.587;6.232;3.38156375;3.42080755;3.41982313;3.39340408;3.34287083;3.25720258;3.1452123;3.01736947;2.8857275;2.76207809
BLZ;Belize;SSP2_BLZ;0.312;0.365;0.403;0.431;0.448;0.456;0.458;0.456;0.452;0.449;0.0392043906;0.0513398199;0.0613960011;0.0695766797;0.075507976;0.0794246807;0.0818415711;0.0831543781;0.0837848253;0.0843474174
BOL;Bolivia;SSP2_BOL;9.93;11.34;12.603;13.585;14.271;14.646;14.803;14.79;14.654;14.468;2.9506845;3.56233907;4.15072061;4.6578819;5.06412931;5.35239375;5.54818497;5.66535987;5.71979381;5.74003121
BRA;Brazil;SSP2_BRA;194.946;210.743;222.819;229.841;231.868;228.665;221.581;211.583;200.123;188.415;85.785272;95.0730794;102.230889;106.740719;108.669048;107.928432;105.176429;100.893428;95.7920539;90.475291
BRB;Barbados;SSP2_BRB;0.273;0.279;0.281;0.277;0.268;0.255;0.241;0.226;0.21;0.195;0.103613258;0.121837503;0.136371548;0.145636388;0.149850294;0.149602451;0.146889123;0.142049964;0.135357506;0.128338669
BRN;Brunei;SSP2_BRN;0.399;0.466;0.527;0.58;0.627;0.664;0.683;0.683;0.671;0.648;0.155103016;0.190988973;0.225155778;0.256105308;0.284265321;0.307522569;0.321853016;0.326453875;0.324486638;0.316410718
BTN;Bhutan;SSP2_BTN;0.726;0.869;1.006;1.129;1.239;1.321;1.364;1.371;1.347;1.305;0;0;0;0;0;0;0;0;0;0
BWA;Botswana;SSP2_BWA;2.007;2.242;2.428;2.589;2.736;2.872;2.954;2.957;2.89;2.762;0.505067719;0.618057454;0.715058093;0.800935971;0.87884811;0.950079622;1.00046773;1.02083765;1.01362486;0.98168066
CAF;Central African Republic;SSP2_CAF;4.401;5.259;6.097;6.834;7.414;7.825;8.052;8.111;8.042;7.886;1.24740487;1.72063406;2.24073881;2.75880278;3.22918259;3.62552432;3.92467993;4.12274658;4.23335978;4.27561804
CAN;Canada;SSP2_CAN;34.017;37.764;41.384;44.54;47.585;50.465;52.762;54.322;54.945;54.424;19.258224;22.247375;25.174876;27.8072635;30.3415087;32.7348678;34.7082222;36.1473693;36.9085773;36.8430784
CHE;Switzerland;SSP2_CHE;7.664;8.101;8.519;8.879;9.172;9.384;9.467;9.45;9.322;9.041;3.46904375;3.85640869;4.22598134;4.55615843;4.83992765;5.06810749;5.21287044;5.28868353;5.2888611;5.1889665
CHL;Chile;SSP2_CHL;17.114;18.567;19.686;20.338;20.534;20.369;19.917;19.232;18.354;17.371;8.776738;9.77276862;10.5753455;11.10103;11.3476257;11.3650058;11.1955527;10.8725632;10.4220951;9.89744114
CHN;China;SSP2_CHN;1341.335;1379.229;1380.651;1339.587;1263.138;1163.794;1057.146;951.828;852.319;767.275;389.310528;466.065131;519.94391;545.682436;545.358168;525.148307;493.654945;456.70644;418.021656;383.13643
CIV;Côte dIvoire;SSP2_CIV;19.738;23.152;26.179;28.757;30.619;31.801;32.563;32.912;32.904;32.655;8.650734;11.447879;14.1464361;16.606912;18.6013319;20.0970471;21.2328953;22.0093631;22.4640761;22.6810277
CMR;Cameroon;SSP2_CMR;19.599;23.654;27.315;30.621;33.156;34.971;36.069;36.583;36.47;35.925;9.094621;12.2348609;15.168377;17.8527023;20.0148795;21.6607347;22.7824954;23.4620967;23.6742074;23.5490846
COD;Democratic Republic of the Congo;SSP2_COD;65.966;85.771;107.35;127.427;145.719;160.929;172.54;180.711;185.387;187.015;21.93448;33.6864641;48.2398427;63.8067369;79.5892737;94.2767502;106.997111;117.41309;125.191134;130.431102
COG;Republic of Congo;SSP2_COG;4.043;5.077;6.08;7.032;7.823;8.454;8.902;9.172;9.242;9.153;2.26473425;3.08928813;3.93848074;4.78021127;5.52320118;6.15242538;6.64013129;6.98221633;7.15626415;7.19027423
COL;Colombia;SSP2_COL;46.295;52.233;57.328;61.225;63.9;65.297;65.588;64.912;63.408;61.436;22.595962;26.925979;30.7690208;33.8832418;36.217823;37.7194569;38.4756045;38.564809;38.0719833;37.2186711
COM;Comoros;SSP2_COM;0.735;0.901;1.048;1.187;1.287;1.353;1.4;1.424;1.425;1.412;0.0651482539;0.097978985;0.13396302;0.172135244;0.205878915;0.23365782;0.256776496;0.273974919;0.284907292;0.291258603
CPV;Cape Verde;SSP2_CPV;0.496;0.533;0.559;0.572;0.573;0.561;0.546;0.529;0.513;0.502;0.0464733477;0.0543431514;0.060791353;0.0653985301;0.0681564387;0.0688827676;0.0688004366;0.0681025237;0.0672394687;0.0668070922
CRI;Costa Rica;SSP2_CRI;4.659;5.326;5.911;6.387;6.736;6.965;7.038;6.949;6.739;6.455;1.87693925;2.30423185;2.70634055;3.06036623;3.34904324;3.56957483;3.69897998;3.73012594;3.68255801;3.58150037
CUB;Cuba;SSP2_CUB;11.258;11.083;10.695;10.056;9.192;8.157;7.138;6.286;5.568;4.96;3.29824825;3.41199291;3.42262455;3.31870385;3.10970892;2.81591869;2.50562141;2.23744291;2.00518888;1.80400319
CYP;Cyprus;SSP2_CYP;1.104;1.248;1.377;1.484;1.579;1.65;1.674;1.653;1.601;1.533;0.441694781;0.526651169;0.605845518;0.674984978;0.737788438;0.788217775;0.814559605;0.816943478;0.801810424;0.776555272
CZE;Czech Republic;SSP2_CZE;10.493;10.972;11.292;11.478;11.704;11.841;11.719;11.46;11.183;10.856;4.200169;4.61937988;4.95422585;5.20926067;5.46249194;5.65623579;5.70747981;5.67278378;5.61193557;5.51124062
DEU;Germany;SSP2_DEU;82.302;81.91;81.357;80.367;78.932;77.069;74.934;72.604;69.827;66.528;41.014024;42.9185038;44.4168404;45.3845403;45.8370525;45.8051891;45.4054981;44.7114121;43.5902579;42.0093844
DJI;Djibouti;SSP2_DJI;0.889;1.045;1.182;1.294;1.378;1.427;1.447;1.444;1.425;1.395;0;0;0;0;0;0;0;0;0;0
DNK;Denmark;SSP2_DNK;5.55;5.806;6.087;6.338;6.574;6.825;7.047;7.225;7.354;7.426;2.75833275;2.95313052;3.14241053;3.30567688;3.45422989;3.60610777;3.73937161;3.8468042;3.92604853;3.97315427
DOM;Dominican Republic;SSP2_DOM;9.927;11.066;12.006;12.696;13.132;13.295;13.263;13.082;12.772;12.395;4.5202945;5.35002935;6.07490781;6.65551782;7.0802873;7.33294935;7.45323017;7.46681265;7.38638182;7.2493664
DZA;Algeria;SSP2_DZA;35.468;40.528;44.519;47.437;49.525;50.132;49.609;48.487;47.08;45.601;12.909974;15.6852669;18.1351721;20.1695531;21.8283174;22.775571;23.1231524;23.097286;22.8468486;22.4830698
ECU;Ecuador;SSP2_ECU;14.465;16.347;17.974;19.24;20.089;20.508;20.611;20.447;20.032;19.452;5.3802225;6.42880092;7.41626857;8.27321407;8.95012725;9.41959935;9.71814723;9.86029693;9.84903596;9.72457389
EGY;Egypt;SSP2_EGY;81.121;94.75;106.685;116.868;124.861;130.529;133.778;134.519;133.577;131.239;39.46228;52.7636593;66.1671473;78.9850427;90.4006535;99.9116147;107.154683;111.859788;114.597805;115.589823
ERI;Eritrea;SSP2_ERI;5.254;6.926;8.539;10.193;11.634;12.791;13.686;14.252;14.472;14.393;0.03396375;0.0550018846;0.0811985813;0.113212469;0.147467503;0.181243908;0.212934528;0.239819125;0.260074925;0.273385256
ESP;Spain;SSP2_ESP;46.077;48.769;50.208;51.675;52.76;52.845;52.081;50.965;49.602;47.759;21.99396;24.2651815;25.8788415;27.4428841;28.7336503;29.3946182;29.4864654;29.2830436;28.851704;28.0642303
EST;Estonia;SSP2_EST;1.341;1.325;1.297;1.273;1.259;1.241;1.216;1.19;1.162;1.133;0.337698563;0.349904558;0.356616315;0.362270709;0.368999821;0.373056467;0.373623431;0.372629884;0.369909366;0.365904581
ETH;Ethiopia;SSP2_ETH;82.95;103.021;123.971;142.61;158.829;172.13;181.728;187.822;190.76;191.006;4.526764;7.05518898;10.4296581;14.4136536;18.8564653;23.4919572;27.9477173;31.9725984;35.390657;38.1108633
