Region;Model;Scenario;Variable;Unit;Y2010;Y2015;Y2020;Y2025;Y2030;Y2035;Y2040;Y2045;Y2050;Y2055;Y2060;Y2065;Y2070;Y2075;Y2080;Y2085;Y2090;Y2095;Y2100
ABW;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;0.151;0.205;0.266;0.357;0.492;0.679;0.926;1.237;1.617;2.067;2.586;3.165;3.797;4.470;5.171;5.842;6.469;7.034;7.505
AFG;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;37.237;47.643;59.153;78.506;109.567;157.250;227.005;324.841;456.674;627.328;839.381;1094.144;1389.577;1722.005;2086.194;2474.187;2878.709;3293.204;3707.958
AGO;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;98.686;127.295;171.984;203.363;232.320;261.469;304.102;369.997;464.994;591.431;750.860;942.049;1160.284;1400.116;1655.046;1917.629;2181.823;2441.164;2687.836
ALB;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;24.545;26.919;30.452;35.126;41.037;48.034;55.608;63.289;70.384;76.939;83.030;88.331;92.473;95.687;98.004;99.153;99.277;98.596;97.006
ARE;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;318.142;439.900;536.362;652.339;787.776;927.181;1061.287;1176.838;1266.675;1343.919;1421.730;1487.358;1535.672;1560.609;1569.904;1565.244;1550.719;1526.111;1486.250
ARG;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;580.427;715.981;861.408;1034.757;1234.956;1460.154;1689.617;1908.124;2112.170;2302.356;2478.593;2639.011;2778.376;2890.058;2983.801;3057.448;3111.058;3144.994;3156.007
ARM;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;15.153;18.149;21.519;25.880;31.593;38.440;45.427;51.782;57.013;61.218;65.011;68.784;71.565;73.228;74.461;75.361;76.099;76.478;76.396
AUS;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;795.588;941.640;1114.003;1293.923;1490.870;1710.424;1946.390;2196.838;2444.276;2694.125;2962.466;3242.255;3523.682;3793.235;4048.735;4283.508;4501.050;4706.377;4898.409
AUT;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;296.850;330.984;363.264;395.570;430.982;470.041;511.749;553.608;592.157;629.058;665.734;702.560;737.489;770.436;800.940;827.506;850.606;871.116;889.725
AZE;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;80.696;91.320;105.154;115.497;128.874;139.459;152.748;167.935;182.697;198.241;217.841;243.198;269.518;291.501;311.407;329.959;348.387;365.686;379.716
BDI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;4.389;5.719;7.980;11.816;18.515;29.747;47.267;72.754;107.592;153.043;210.398;279.757;359.927;447.730;540.111;634.341;728.929;822.664;911.779
BEL;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;357.666;386.550;420.166;461.282;511.964;570.807;633.155;694.686;754.294;814.612;877.634;942.284;1005.427;1066.456;1126.023;1183.786;1239.182;1292.555;1343.680
BEN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;12.601;15.020;19.378;26.723;38.283;56.012;82.082;118.813;168.465;232.796;312.832;408.131;516.931;636.096;763.855;897.097;1032.755;1167.839;1297.974
BFA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;18.709;24.921;34.144;48.982;71.961;106.496;155.782;223.380;312.921;426.941;566.422;730.940;918.280;1124.341;1347.203;1582.881;1826.257;2072.622;2315.264
BGD;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;221.297;299.557;422.378;596.861;840.967;1172.140;1590.473;2084.679;2636.728;3232.560;3854.015;4475.124;5077.037;5651.810;6181.944;6656.779;7074.766;7440.367;7746.924
