"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"AFG";"Afghanistan";4.00;14201.24;14880.14;15310.40;15457.80;15429.62;15346.09;15210.23;15026.85;14802.29;14544.04
"ALB";"Albania";8.00;6530.99;6362.50;6214.40;6087.75;5982.26;5896.63;5828.80;5776.36;5736.76;5707.56
"DZA";"Algeria";12.00;7294.72;7106.53;6941.11;6799.65;6681.83;6586.18;6510.42;6451.85;6407.62;6375.00
"ASM";"American Samoa";16.00;1309.70;1278.86;1249.68;1222.64;1198.07;1176.17;1156.98;1140.47;1126.51;1114.88
"AND";"Andorra";20.00;1918.95;1766.40;1593.71;1470.00;1407.22;1383.71;1377.08;1375.66;1375.43;1375.40
"AGO";"Angola";24.00;12215.99;12456.43;12410.28;12275.21;12060.99;11782.59;11458.45;11108.49;10752.09;10406.41
"ATG";"Antigua and Barbuda";28.00;9022.62;8997.39;8987.14;8983.36;8982.10;8981.71;8981.60;8981.58;8981.57;8981.57
"AZE";"Azerbaijan";31.00;4321.40;4213.17;4113.95;4025.13;3947.39;3880.81;3824.97;3779.09;3742.12;3712.90
"ARG";"Argentina";32.00;6314.61;6733.72;6392.88;5994.89;5621.16;5323.52;5117.64;4992.39;4924.86;4892.44
"AUS";"Australia";36.00;1971.14;1920.29;1875.58;1837.36;1805.52;1779.68;1759.21;1743.38;1731.43;1722.61
"AUT";"Austria";40.00;4668.47;4612.65;4557.75;4504.05;4451.82;4401.28;4352.64;4306.05;4261.65;4219.53
"BHS";"Bahamas";44.00;2371.44;2340.44;2310.85;2282.80;2256.38;2231.65;2208.64;2187.37;2167.81;2149.94
"BHR";"Bahrain";48.00;14442.66;13889.10;13023.99;12101.46;11323.72;10779.56;10456.52;10291.85;10219.25;10191.44
"BGD";"Bangladesh";50.00;31136.96;30247.36;28716.37;26928.62;25249.86;23912.86;22988.06;22425.45;22122.12;21976.48
"ARM";"Armenia";51.00;9121.98;8886.65;8679.79;8502.89;8355.56;8235.95;8141.21;8067.97;8012.67;7971.87
"BRB";"Barbados";52.00;2035.88;1987.95;1942.59;1900.56;1862.37;1828.31;1798.49;1772.83;1751.12;1733.05
"BEL";"Belgium";56.00;3662.13;3650.84;3639.57;3628.33;3617.12;3605.95;3594.81;3583.72;3572.68;3561.69
"BMU";"Bermuda";60.00;1963.75;1917.52;1873.77;1833.22;1796.39;1763.54;1734.78;1710.02;1689.08;1671.65
"BTN";"Bhutan";64.00;8131.79;8520.54;8766.91;8851.31;8835.17;8787.35;8709.55;8604.55;8475.96;8328.08
"BOL";"Bolivia";68.00;7346.68;7187.62;7043.27;6914.73;6802.33;6705.75;6624.16;6556.39;6501.00;6456.44
"BIH";"Bosnia and Herzegovina";70.00;4822.24;4473.96;4218.31;4063.24;3984.19;3949.98;3937.35;3933.35;3932.27;3932.01
"BWA";"Botswana";72.00;1105.45;996.56;928.37;898.39;888.81;886.55;886.15;886.10;886.09;886.09
"BRA";"Brazil";76.00;5703.62;5141.77;4789.96;4635.27;4585.85;4574.18;4572.12;4571.85;4571.82;4571.82
"BLZ";"Belize";84.00;8957.00;8839.91;8728.17;8622.22;8522.43;8429.02;8342.12;8261.77;8187.90;8120.40
"IOT";"British Indian Ocean Territory";86.00;265.35;257.44;250.17;243.73;238.19;233.56;229.81;226.84;224.56;222.85
"SLB";"Solomon Islands";90.00;4077.01;4290.61;4453.46;4555.50;4590.26;4583.62;4563.89;4531.63;4487.76;4433.49
"VGB";"British Virgin Islands";92.00;248.56;224.07;208.74;202.00;199.85;199.34;199.25;199.24;199.24;199.24
"BRN";"Brunei Darussalam";96.00;1986.48;1929.72;1832.05;1717.99;1610.89;1525.59;1466.59;1430.70;1411.35;1402.06
"BGR";"Bulgaria";100.00;6469.95;6303.04;6156.31;6030.85;5926.35;5841.51;5774.32;5722.37;5683.15;5654.21
"MMR";"Myanmar";104.00;11527.91;11754.80;11711.25;11583.79;11381.64;11118.92;10813.04;10482.79;10146.47;9820.25
"BDI";"Burundi";108.00;5165.14;5361.95;5509.32;5600.56;5631.45;5625.56;5607.99;5579.11;5539.52;5490.02
"BLR";"Belarus";112.00;5671.56;5525.24;5396.63;5286.64;5195.04;5120.67;5061.77;5016.23;4981.85;4956.48
"KHM";"Cambodia";116.00;2898.70;2955.76;2944.80;2912.75;2861.92;2795.86;2718.95;2635.91;2551.34;2469.31
"CMR";"Cameroon";120.00;13243.43;13144.89;12863.68;12439.61;11928.64;11390.83;10878.95;10430.87;10066.58;9789.89
"CAN";"Canada";124.00;6943.45;6822.66;6710.00;6606.19;6511.63;6426.44;6350.54;6283.62;6225.24;6174.82
"CPV";"Cape Verde";132.00;3453.27;3113.10;2900.10;2806.44;2776.51;2769.45;2768.20;2768.04;2768.02;2768.02
"CYM";"Cayman Islands";136.00;3811.60;3768.41;3725.86;3684.16;3643.50;3604.04;3565.93;3529.27;3494.18;3460.73
"CAF";"Central African Republic";140.00;6495.33;6309.76;5990.38;5617.45;5267.25;4988.34;4795.43;4678.06;4614.79;4584.41
"LKA";"Sri Lanka";144.00;8473.19;8803.31;8917.48;8895.62;8831.11;8727.07;8588.39;8421.41;8233.37;8031.94
"TCD";"Chad";148.00;8163.76;8554.04;8801.38;8886.11;8869.91;8821.89;8743.79;8638.38;8509.28;8360.82
"CHL";"Chile";152.00;9419.32;9176.33;8962.72;8780.06;8627.93;8504.42;8406.59;8330.96;8273.86;8231.73
"CHN";"China";156.00;11266.99;11183.15;10943.91;10583.13;10148.42;9690.87;9255.39;8874.17;8564.25;8328.85
"TWN";"Taiwan, Province of China";158.00;8137.67;7336.05;6834.10;6613.40;6542.88;6526.23;6523.30;6522.91;6522.87;6522.87
"CXR";"Christmas Island";162.00;267.18;260.89;254.93;249.42;244.40;239.94;236.02;232.65;229.81;227.43
"CCK";"Cocos (Keeling) Islands";166.00;267.18;260.89;254.93;249.42;244.40;239.94;236.02;232.65;229.81;227.43
"COL";"Colombia";170.00;16172.06;15970.70;15777.96;15594.56;15421.09;15257.94;15105.35;14963.41;14832.09;14711.25
"COM";"Comoros";174.00;5428.29;5687.80;5852.26;5908.61;5897.83;5865.91;5813.98;5743.88;5658.04;5559.33
"MYT";"Mayotte";175.00;5007.47;4925.74;4849.05;4777.84;4712.38;4652.80;4599.08;4551.11;4508.65;4471.42
"COG";"Congo";178.00;6787.70;6612.60;6458.67;6327.04;6217.41;6128.41;6057.91;6003.41;5962.26;5931.91
"COD";"Democratic Republic of the Congo";180.00;7328.99;6901.16;6579.83;6368.12;6244.58;6180.34;6150.45;6137.98;6133.30;6131.72
"COK";"Cook Islands";184.00;5481.22;5352.17;5230.05;5116.89;5014.07;4922.39;4842.11;4773.02;4714.56;4665.92
"CRI";"Costa Rica";188.00;3513.44;3422.81;3343.13;3275.00;3218.25;3172.18;3135.69;3107.48;3086.18;3070.47
"HRV";"Croatia";191.00;5582.83;5438.80;5312.20;5203.93;5113.77;5040.56;4982.58;4937.75;4903.91;4878.94
"CUB";"Cuba";192.00;11037.30;10857.16;10688.12;10531.16;10386.88;10255.55;10137.15;10031.40;9937.82;9855.75
"CYP";"Cyprus";196.00;3655.88;3614.19;3570.66;3525.73;3479.86;3433.50;3387.05;3340.91;3295.44;3250.98
"CZE";"Czech Republic";203.00;7520.77;7343.70;7176.14;7020.87;6879.80;6754.00;6643.84;6549.04;6468.84;6402.09
"BEN";"Benin";204.00;6161.76;6456.33;6643.02;6706.98;6694.75;6658.51;6599.56;6519.99;6422.56;6310.50
"DNK";"Denmark";208.00;2717.60;2653.61;2593.07;2536.96;2485.98;2440.53;2400.72;2366.47;2337.48;2313.37
"DMA";"Dominica";212.00;12291.26;11974.18;11695.44;11457.09;11258.57;11097.40;10969.75;10871.06;10796.54;10741.57
