EK;label
0;No other rule applies
1;N01.01 Zee en Wad
2;N02.01 Rivier
3;N03.01 Beek en bron
4;N04.01 Kranswierwater
5;N04.02 Zoete plas
6;N04.03 Brak water
7;N04.04 Afgesloten zeearm
8;N05.01 Moeras
9;N05.01.02 Landriet
10;N05.01.03 Waterriet
11;N05.01.06 Moerasstruweel
12;N05.01.11 Galigaanmoerassen
13;N05.01.13 Open zand
14;N05.01.14 Slikkige rivieroever
15;N05.02 Gemaaid rietland
16;N06.01 Veenmosrietland en moerasheide
17;N06.02 Trilveen
18;N06.03 Hoogveen
19;N06.04 Vochtige heide
20;N06.05 Zwakgebufferd ven
21;N06.06 Zuur ven of hoogveenven
22;N07.01 Droge heide
23;N07.02 Zandverstuiving
24;N08.01 Strand en embryonaal duin
25;N08.02.00 Open duin
26;N08.02.02 Stuivend duinzand
27;N08.02.03 Witte duinen
28;N08.02.07 Droog duingrasland kalkrijk
29;N08.02.08 Droog duingrasland kalkarm
30;N08.02.11 Duinstruweel
31;N08.02.15 Duingrasland
32;N08.03 Vochtige duinvallei
33;N08.04 Duinheide
34;N09.01 Schor of kwelder
35;N10.01 Nat schraalland
36;N10.02 Vochtig hooiland
37;N11.01 Droog schraalgrasland
38;N12.01 Bloemdijk
39;N12.02 Kruiden- en faunarijk grasland
40;N12.03 Glanshaverhooiland
41;N12.04 Zilt- en overstromingsgrasland
42;N12.05 Kruiden- en faunrarijke akker
43;N12.06 Ruigteveld
44;N13.01 Vochtig weidevogelgrasland
45;N13.02 Wintergastenweide
46;N14.01 Rivier- en beekbegeleidend bos
47;N14.02 Hoog- en laagveenbos
48;N14.03 Haagbeuken- en essenbos
49;N15.01.01 Duinbos -- gemengd bos
50;N15.01.02 Duinbos -- loofbos
51;N15.01.03 Duinbos -- naaldbos
52;N15.01.00 Duinbos
53;N15.02.01 Dennen-, eiken-, en beukenbos -- gemengd bos
54;N15.02.02 Dennen-, eiken-, en beukenbos -- loofbos
