corridorFootprintId,corridorIntpaId,corridorName,unGeoSchema,countries,prioritySet
31,1,Abidjan-Lagos,West Africa,"Cote d'Ivoire, Ghana, Togo, Benin, Nigeria",2
3,2,Abidjan-Ouagadougou,West Africa,"Cote d'Ivoire, Burkina Faso",1
68,3,Praia-Dakar-Abidjan,West Africa,"Senegal, Gambia, Guinea-Bissau, Guinea, Sierra Leone, Liberia, Cote d'Ivoire, Cabo Verde",1
6,4,Cotonou-Niamey,West Africa,"Benin, Niger",2
65,5,Libreville-Kribi-Douala-N'Djamena,Central Africa,"Gabon, Equatorial Guinea, Cameroon, Chad, Sao Tome and Principe",2
37,6,Douala-Kribi-Bangui-Kisangani-Kampala,Central Africa,"Cameroon, Central African Republic, Democratic Republic of the Congo, Uganda",1
67,7,Berbera-Djibouti-Addis Ababa-Mombasa-Dar es Salaam,East Africa,"Tanzania, Kenya, Ethiopia, Somalia, Djibouti",2
15,8,Mombasa-Kisangani,East Africa,"Kenya, Uganda, Rwanda, Democratic Republic of the Congo",2
66,9,Maputo-Gaborone-Walvis Bay,Southern Africa,"Mozambique, South Africa, Eswatini, Botswana, Namibia",1
24,10,Durban-Lusaka-Lubumbashi,Southern Africa,"South Africa, Botswana, Zimbabwe, Zambia",2
64,11,Cairo-Khartoum-Juba-Kampala,North and East Africa,"Egypt, Sudan, South Sudan, Uganda",1
